,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,x,y,z
0,0.000216077,0.000266673,0.000319767,0.000372538,0.000421689,0.000463763,0.000495546,0.000514465,0.000518932,0.000508568,0.000484251,0.000447998,0.000402685,0.000351672,0.000298397,0.000245999,0.000197041,0.000153343,0.000115945,8.52E-05,6.08E-05,4.22E-05,2.84E-05,1.86E-05,1.18E-05,7.31E-06,4.39E-06,2.56E-06,1.45E-06,7.99E-07,4.28E-07,2.22E-07,1.12E-07,5.51E-08,2.63E-08,1.22E-08,5.48E-09,2.40E-09,1.02E-09,4.20E-10,0,0,0.000216077
1,0.000320074,0.000401912,0.000490337,0.000581222,0.00066938,0.000749009,0.000814301,0.000860134,0.000882736,0.000880196,0.000852729,0.000802651,0.00073405,0.000652241,0.000563085,0.000472306,0.000384907,0.00030477,0.000234462,0.000175249,0.000127269,8.98E-05,6.16E-05,4.10E-05,2.65E-05,1.67E-05,1.02E-05,6.05E-06,3.49E-06,1.95E-06,1.06E-06,5.63E-07,2.89E-07,1.44E-07,7.01E-08,3.30E-08,1.51E-08,6.73E-09,2.91E-09,1.22E-09,1,0,0.000320074
2,0.000456251,0.000582899,0.000723548,0.000872618,0.001022504,0.001164097,0.001287647,0.001383847,0.001444983,0.001465956,0.001444983,0.001383847,0.001287647,0.001164097,0.001022504,0.000872618,0.000723548,0.000582899,0.000456251,0.000346974,0.000256374,0.000184049,0.000128374,8.70E-05,5.73E-05,3.66E-05,2.28E-05,1.38E-05,8.07E-06,4.60E-06,2.55E-06,1.37E-06,7.17E-07,3.64E-07,1.80E-07,8.62E-08,4.02E-08,1.82E-08,8.00E-09,3.42E-09,2,0,0.000456251
3,0.000625846,0.000813519,0.001027427,0.001260718,0.001503033,0.001741016,0.001959387,0.002142502,0.002276177,0.002349493,0.002356274,0.002295942,0.0021736,0.001999318,0.001786765,0.001551446,0.001308849,0.001072817,0.000854369,0.000661072,0.000496976,0.000363,0.000257608,0.000177622,0.000118992,7.75E-05,4.90E-05,3.01E-05,1.80E-05,1.04E-05,5.87E-06,3.22E-06,1.71E-06,8.84E-07,4.44E-07,2.17E-07,1.03E-07,4.73E-08,2.12E-08,9.20E-09,3,0,0.000625846
4,0.00082612,0.001092579,0.001403933,0.001752763,0.0021261,0.002505691,0.002869162,0.003192023,0.003450329,0.003623585,0.003697431,0.0036656,0.003530804,0.003304348,0.003004563,0.002654364,0.002278364,0.001900069,0.001539569,0.001212027,0.000927062,0.000688952,0.000497454,0.00034898,0.000237865,0.000157524,0.000101355,6.34E-05,3.85E-05,2.27E-05,1.30E-05,7.25E-06,3.93E-06,2.06E-06,1.05E-06,5.24E-07,2.53E-07,1.18E-07,5.39E-08,2.38E-08,4,0,0.00082612
5,0.001049373,0.001412048,0.00184609,0.002344983,0.002894076,0.003470274,0.004042976,0.004576379,0.005032993,0.005377919,0.005583232,0.005631715,0.005519238,0.005255343,0.004861906,0.004370143,0.003816525,0.003238353,0.002669708,0.00213839,0.001664154,0.001258298,0.000924394,0.000659803,0.000457568,0.000308304,0.000201831,0.000128374,7.93E-05,4.76E-05,2.78E-05,1.57E-05,8.67E-06,4.64E-06,2.41E-06,1.22E-06,5.98E-07,2.85E-07,1.32E-07,5.94E-08,5,0,0.001049373
6,0.001282709,0.001756134,0.002335989,0.00301903,0.003790946,0.004624996,0.005482247,0.006313778,0.007064861,0.007680711,0.008113023,0.008326214,0.008302252,0.00804318,0.007570824,0.006923761,0.006152116,0.005311173,0.00445492,0.003630554,0.002874679,0.002211513,0.001653001,0.001200439,0.000847014,0.000580664,0.000386761,0.00025029,0.000157372,9.61E-05,5.71E-05,3.29E-05,1.84E-05,1.00E-05,5.31E-06,2.73E-06,1.36E-06,6.61E-07,3.11E-07,1.43E-07,6,0,0.001282709
7,0.00150882,0.00210173,0.002844461,0.003740302,0.004778556,0.005931579,0.007153646,0.008382394,0.00954316,0.010556013,0.01134465,0.011845839,0.012017775,0.011845839,0.01134465,0.010556013,0.00954316,0.008382394,0.007153646,0.005931579,0.004778556,0.003740302,0.002844461,0.00210173,0.00150882,0.001052402,0.000713196,0.000469591,0.00030041,0.000186721,0.00011276,6.62E-05,3.77E-05,2.09E-05,1.12E-05,5.88E-06,2.99E-06,1.47E-06,7.07E-07,3.29E-07,7,0,0.00150882
8,0.001707884,0.002420515,0.003333041,0.004459202,0.005796384,0.007320498,0.008982715,0.010709227,0.012404869,0.013960782,0.015265493,0.016217931,0.016740313,0.016788629,0.016358761,0.015487064,0.01424529,0.012730839,0.011054173,0.009325648,0.007643906,0.006087446,0.00471019,0.003540995,0.0025864,0.00183548,0.001265572,0.000847828,0.000551839,0.00034898,0.000214423,0.000128005,7.42E-05,4.18E-05,2.29E-05,1.22E-05,6.30E-06,3.16E-06,1.54E-06,7.32E-07,8,0,0.001707884
9,0.001860333,0.002682563,0.003758311,0.005115864,0.006765952,0.008694053,0.010854234,0.013166174,0.015516848,0.01776769,0.019767054,0.021366651,0.022439567,0.022896864,0.022699749,0.021865008,0.020462643,0.018606185,0.016437527,0.014109094,0.011766446,0.009533997,0.007505648,0.005740966,0.004266436,0.003080555,0.002161107,0.001473015,0.000975487,0.000627653,0.000392374,0.000238323,0.000140642,8.06E-05,4.49E-05,2.43E-05,1.28E-05,6.53E-06,3.24E-06,1.56E-06,9,0,0.001860333
