,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,x,y,z
0,0.000194469,0.000240006,0.000351744,0.000447046,0.000421689,0.000463763,0.000594655,0.000565912,0.000467039,0.000610282,0.000484251,0.000403198,0.000483222,0.000386839,0.000328237,0.000270599,0.000197041,0.000184012,0.000092756,0.00010224,0.00005472,0.00005064,0.00003124,0.0000186,0.00001416,0.000006579,0.000003512,0.000003072,0.00000174,8.789E-07,4.708E-07,1.776E-07,1.344E-07,4.408E-08,2.63E-08,1.464E-08,6.576E-09,1.92E-09,8.16E-10,3.78E-10,0,0,0.000194469
1,0.000384089,0.000401912,0.00039227,0.000639344,0.000535504,0.000674108,0.000814301,0.000860134,0.000794462,0.001056235,0.000852729,0.000802651,0.000660645,0.000717465,0.000675702,0.000377845,0.000461888,0.000274293,0.000211016,0.000192774,0.000152723,0.00007184,0.00005544,0.0000369,0.00002385,0.00002004,0.00000918,0.000005445,0.000003141,0.000002145,0.000000954,6.756E-07,2.312E-07,1.296E-07,7.711E-08,3.96E-08,1.359E-08,8.076E-09,3.492E-09,1.22E-09,1,0,0.000384089
2,0.000365001,0.000466319,0.000868258,0.00095988,0.001022504,0.001280507,0.001545176,0.001383847,0.001589481,0.001612552,0.00173398,0.001107078,0.001545176,0.000931278,0.000818003,0.000785356,0.000651193,0.000582899,0.000547501,0.000277579,0.000205099,0.000147239,0.000141211,0.0000783,0.0000573,0.0000366,0.00002508,0.00001104,0.000009684,0.00000414,0.00000306,0.000001233,8.604E-07,4.368E-07,0.000000162,9.482E-08,4.422E-08,1.82E-08,6.4E-09,3.42E-09,2,0,0.000365001
3,0.000625846,0.000813519,0.001232912,0.00138679,0.001653336,0.001392813,0.001763448,0.001714002,0.002731412,0.002584442,0.002356274,0.002525536,0.0021736,0.001999318,0.001786765,0.001861735,0.001308849,0.001180099,0.001025243,0.000528858,0.000447278,0.0003993,0.00030913,0.000177622,9.51936E-05,0.0000775,0.0000392,0.00002709,0.0000216,0.00000936,0.000007044,0.000002898,0.00000171,7.072E-07,0.000000444,1.953E-07,1.133E-07,5.203E-08,1.908E-08,9.2E-09,3,0,0.000625846
4,0.00082612,0.001201837,0.001544326,0.002103316,0.00233871,0.002505691,0.002582246,0.002553618,0.003450329,0.003623585,0.002957945,0.0036656,0.002824643,0.002973913,0.003004563,0.0029198,0.002734037,0.001710062,0.001847483,0.000969622,0.00074165,0.000551162,0.000497454,0.000418776,0.000190292,0.000157524,0.000121626,0.00005072,0.0000308,0.00002724,0.000013,0.0000087,0.000003537,0.000002266,0.00000084,0.000000524,0.000000253,1.416E-07,5.39E-08,2.856E-08,4,0,0.00082612
5,0.00115431,0.001553253,0.002030699,0.002344983,0.003472891,0.003123247,0.003638678,0.003661103,0.006039592,0.004302335,0.005024909,0.005631715,0.004967314,0.004204274,0.005834287,0.003933129,0.003816525,0.002914518,0.002936679,0.002352229,0.001830569,0.001006638,0.001109273,0.000791764,0.000366054,0.000277474,0.000161465,0.000102699,0.00007137,0.0000476,0.0000278,0.00001884,0.000009537,0.000005568,0.000002651,0.000001098,7.176E-07,0.000000228,1.056E-07,7.128E-08,5,0,0.00115431
6,0.001154438,0.001756134,0.001868791,0.003622836,0.004170041,0.004624996,0.006030472,0.006945156,0.007771347,0.006144569,0.007301721,0.009158835,0.007472027,0.008847498,0.007570824,0.006923761,0.006767328,0.006373408,0.003563936,0.003630554,0.002299743,0.00176921,0.001983601,0.001320483,0.000847014,0.000580664,0.000309409,0.000300348,0.000173109,0.00011532,0.00005139,0.00003619,0.00001472,0.000011,0.000006372,0.000002457,0.000001088,5.288E-07,3.732E-07,1.716E-07,6,0,0.001154438
7,0.00150882,0.001681384,0.003128907,0.004488362,0.003822845,0.006524737,0.006438281,0.010058873,0.010497476,0.012667216,0.01361358,0.014215007,0.00961422,0.011845839,0.012479115,0.011611614,0.011451792,0.008382394,0.007869011,0.005931579,0.005734267,0.003740302,0.003128907,0.002311903,0.001659702,0.001157642,0.000784516,0.000469591,0.00030041,0.000224065,0.000101484,0.00005958,0.00003016,0.00002508,0.00001008,0.000004704,0.00000299,0.000001617,6.363E-07,2.961E-07,7,0,0.00150882
8,0.001707884,0.002178464,0.002999737,0.003567362,0.006376022,0.006588448,0.008982715,0.012851072,0.013645356,0.013960782,0.018318592,0.012974345,0.01339225,0.013430903,0.016358761,0.013938358,0.01424529,0.015277007,0.013265008,0.011190778,0.007643906,0.006087446,0.005181209,0.002832796,0.00232776,0.001468384,0.001392129,0.000847828,0.000607023,0.000279184,0.000171538,0.000102404,0.00006678,0.00003762,0.00002519,0.00001098,0.0000063,0.000003792,0.000001694,5.856E-07,8,0,0.001707884
9,0.001860333,0.002682563,0.004134142,0.004092691,0.005412762,0.006955242,0.010854234,0.010532939,0.013965163,0.01776769,0.021743759,0.019229986,0.02692748,0.020607178,0.020429774,0.021865008,0.016370114,0.018606185,0.014793774,0.011287275,0.012943091,0.010487397,0.009006778,0.006315063,0.00469308,0.002464444,0.002161107,0.001473015,0.000877938,0.000627653,0.000353137,0.000262155,0.000126578,0.00009672,0.00003592,0.00002673,0.00001536,0.000005224,0.000002916,0.000001248,9,0,0.001860333
